url,fecha_publicacion,fecha_limite,titulo,empresa,ocupacion,descripcion,pais,region,tipo_contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzE4NDAzMCAxMDI?lang=es,10/10/2025,31/10/2025,"CONDUCTORES DE CAMIÓN, EN GENERAL",,Conductor de vehículo de carga/conductora de vehículo de carga,"REQUIERE ESTAR EN POSESIÓN DEL CAP. LA EMPRESA OFRECE SALARIO MUY SUPERIOR AL CONVENIO. EL PUESTO TIENE UN COEFICIENTE DE REDUCCIÓN DE 10% DE CARA A LA JUBILACIÓN. EL TRANSPORTE ES DE ÁRIDOS POR LA ZONA DE AGUILAR DE CAMPOO (PALENCIA).
Datos de contacto:
CÓDIGO DE OFERTA: 082025009062 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",España,Palencia,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzE4NDk5MiAxMDI?lang=es,10/10/2025,21/10/2025,INGENIERO/A INDUSTRIAL - INS. DE OBRA,,Ingeniero eléctrico/ingeniera eléctrica,"EMPRESA DE LOS ALCÁZARES NECESITA INGENIERO/A INDUSTRIAL - INS DE OBRA FUNCIONES: - REDACCIÓN Y REVISIÓN DE PROYECTOS TÉCNICOS DE INSTALACIONES - SUPERVISIÓN Y CONTROL TÉCNICO DE LA EJECUCIÓN DE INSTALACIONES EN OBRA - REVISIÓN DE PLANOS, CÁLCULOS Y MEDICIONES - INTERLOCUCIÓN CON DIRECCIÓN REQUISITOS: - FORMACIÓN: INGENERÍA INDUSTRIAL, INGENERÍA TÉCNICA O SIMILAR - EXPERIENCIA EN PUESTO SIMILAR 2 AÑOS EN OBRAS Y PROYECTOS DE INSTALACIONES - POSEER CONOCIMIENTOS EN NORMATIVA TÉCNICA, REBT, RITE, CTE, ETC... - DOMINIO DE HERRAMIENTAS COMO AUTOCAD, CYPE, PRESTO O SIMILARES - POSEER PERMISO DE CONDUCIR SE OFRECE: - CONTRATO LABORAL INDEFINIDO - JORNADA COMPLETA (HORARIO DE LUNES A JUEVES DE 08:30-14:30 Y VIERNES DE 08:00-15:00) - COCHE DE EMPRESA Y TARJETA DE COMBUSTIBLE - DIETAS, TELÉFONO MÓVIL Y PORTÁTIL DE EMPRESA - FORMACIÓN CONTINUA Y PLAN DE CARRERA - INCORPORACIÓN INMEDIATA
Datos de contacto:
CÓDIGO DE OFERTA: 142025003343 Si está interesado en esta oferta o quiere acceder al resto de ofertas de empleo de la Región de Murcia, y tiene Certificado Digital o CL@VE, ponemos a su disposición la Oficina Virtual del SEF..

Para acceder al detalle de la oferta haga click aquí",España,Murcia,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzIyNDg2NSAxMDI?lang=es,10/10/2025,23/01/2026,ENFERMERO/A,,Enfermero responsable de cuidados generales/enfermera responsable de cuidados generales,"SE NECESITA ENFERMERO/A. CONTRATO INDEFINIDO. JORNADA COMPLETA. PERSONAS INTERESADAS CONTACTAR CON LA OFICINA DE EMPLEO DE BEMBIBRE EN HORARIO DE 9:00 A 14:00 EN EL 987 511 461. OFERTA 15194
Datos de contacto:
CÓDIGO DE OFERTA: 082025015194 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",España,León,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzE4MzM4MCAxMDI?lang=es,10/10/2025,30/10/2025,AUXILIARES DE ENFERMERÍA,,Auxiliar de enfermería,"OFERTA Nº 8987 DE 3 PUESTOS DE GEROCULTOR-TCAE PARA RESIDENCIA EN VILLARALBO (ZAMORA). LOS INTERESADOS/AS DEBEN ENVIAR SU CV A ECYLDOCTORFLEMING.OFERTAS@JCYL.ES (INDICANDO EL Nº DE LA OFERTA). FUNCIONES: CUIDADO Y ATENCIÓN BÁSICA DE RESIDENTES, HIGIENE, ALIMENTACIÓN, VESTIDO, TRASLADOS. CONDICIONES: CONTRATO LABORAL TEMPORAL A JORNADA COMPLETA. TURNOS DE MAÑANA O DE TARDE. REQUISITOS: TÍTULO DE FORMACIÓN EN ATENCIÓN SOCIOSANITARIA, TCAE.
Datos de contacto:
CÓDIGO DE OFERTA: 082025008987 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",España,Zamora,Determinado
https://europa.eu/eures/portal/jv-se/jv-details/NzE2Nzk2MiAxMDI?lang=es,10/10/2025,15/01/2026,"CUIDADORES DE PERSONAS CON DISCAPACIDAD Y/O DEPENDENCIA, EN INSTITUCIONES",,Cuidador de personas con discapacidad/cuidadora de personas con discapacidad,"OFERTA N 6430 DE GEROCULTOR/A-AUXILIAR DE ENFERMERIA PARA RESIDENCIA DE ALMARAZ DE DUERO. LOS INTERESADOS/AS DEBEN ENVIAR SU CV A ECYLDOCTORFLEMING.OFERTAS@JCYL.ES (INDICANDO EN EL ASUNTO EL Nº DE LA OFERTA). CONDICIONES: CONTRATO TEMPORAL A JORNADA COMPLETA. HORARIO A TURNOS. REQUISITOS: CERTIFICADO DE PROFESIONALIDAD DE ATENCIÓN SOCIOSANITARIA EN INSTITUCIONES SOCIALES O CICLOS FORMATIVOS DE FP DE AUXILIAR DE ENFERMERÍA O EQUIVALENTE.
Datos de contacto:
CÓDIGO DE OFERTA: 082025006430 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",España,Zamora,Determinado
https://europa.eu/eures/portal/jv-se/jv-details/NzE4NzU0OCAxMDI?lang=es,10/10/2025,18/10/2025,ENFERMERO/A (REF.3447),,Enfermero responsable de cuidados generales/enfermera responsable de cuidados generales,"El puesto de trabajo se encuentra en Lugo de Llanera FUNCIONES: Colaborar en la realización de la valoración inicial y continua de la situación, necesidades y demandas de las personas residentes. Supervisión y control de la salud de los residentes, toma de constantes vitales y control de medicación. Pautas posturales y seguimientos de dietas. Efectuar curas. Supervisar, organizar y mantener el material de enfermería y farmacia. REQUISITOS IMPRESCINDIBLES: Diplomatura o grado en enfermería. Carnet de conducir y disponibilidad de vehículo para acceder al puesto de trabajo SE VALORARÁ Se valorará formación o experiencia en la ocupación. CONDICIONES: Contrato laboral indefinido. Jornada parcial de 15 h. semanales. Horario a concretar según cuadrante. Salario y demás condiciones laborales según Convenio Colectivo de establecimientos geriátricos del Principado de Asturias.
Datos de contacto:
CÓDIGO DE OFERTA: 032025003447 Las personas interesadas enviarán currículum vítae a la siguiente dirección de correo electrónico: laboral@grupoperezespinosa.com Indicar en el asunto del email: Enfermero/a.

Para acceder al detalle de la oferta haga click aquí",España,Asturias,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzE4ODk0NCAxMDI?lang=es,09/10/2025,30/10/2025,MECÁNICOS DE MAQUINARIA AGRICOLA,,técnico de maquinaria agrícola/técnica de maquinaria agrícola,"La empresa MAZAS MAQUINARIA SL busca mecánicos de maquinaría agrícola. https://www.mazas.es/ El puesto a desempeñar es de reparación y mantenimiento de maquinaria agrícola que comercializa la empresa, que trabaja con marcas de alta calidad y de todos los ámbitos de las tareas agrícolas y ganaderas. En la reparación y mantenimiento hay tareas de mecánica de grupos, piñones, cambio de rodamientos, etc. También reparación de sistemas hidráulicos y neumáticos Tareas de configuración de pantallas de comando de las maquinas, sistemas Isobus y también gps. También montaje de máquinas nuevas, soldadura y herrería. Experiencia de 1 año en puestos similares. Contratación indefinida www.mazas.es/
Datos de contacto:
CÓDIGO DE OFERTA: 022025004108 Para entrar en el proceso selectivo deberán remitir CV a inaem.oebinefar@aragon.es indicando en el asunto su DNI/Nie y la Ref. 4108.

Para acceder al detalle de la oferta haga click aquí",España,Huesca,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzIxNTU2MiAxMDI?lang=es,10/10/2025,15/10/2025,MANICURISTA (REF.04 2025 003435),,Manicuro/manicura,"FUNCIONES: Manicuras y pedicuras. REQUSITOS: Experiencia de 12 meses. Valorable inglés. CONDICIONES: Contrato fijo discontinuo de cuatro meses a tiempo parcial, 30h semanales. Posibilidad de alargar los meses de contratación y también de aumento de horas de trabajo. Horario flexible comprendido entre los turnos de mañana y tarde del centro, según las necesidades de las clientas y del/la persona trabajadora.
Datos de contacto:
CÓDIGO DE OFERTA: 042025003435 Información e inscripciones en www.soib.es , oferta privada..

Para acceder al detalle de la oferta haga click aquí",España,,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzE4NDAyOSAxMDI?lang=es,10/10/2025,31/10/2025,"CONDUCTORES-OPERADORES DE MAQUINARIA DE TRANSPORTE DE TIERRAS, EN GENERAL",,,"LA EMPRESA OFRECE SALARIO MUY SUPERIOR AL CONVENIO. EL PUESTO TIENE UN COEFICIENTE DE REDUCCIÓN DE 15% DE CARA A LA JUBILACIÓN. EL TRABAJO ES EN UNA CANTERA DE ÁRIDOS EN AGUILAR DE CAMPOO (PALENCIA). ES NECESARIO TENER EXPERIENCIA EN EL MANEJO CON ALGUNA DE ESTAS MAQUINARIAS: DE OBRA PÚBLICA, AGRÍCOLA, PALA CARGADORA, RETROEXCAVADORA, EXCAVADORA O BULDOCER.
Datos de contacto:
CÓDIGO DE OFERTA: 082025009057 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",España,Palencia,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzE4MDgxNiAxMDI?lang=es,10/10/2025,15/10/2025,ARQUITECTO/A,,Arquitecto/arquitecta,"REQUISITOS: - Titulación de Arquitectura, Ingeniería de caminos, construcción y obra civil o industrial. - Se valorará experiencia - Control de presto, Autocad, Análisis de costes, Excel. CONDICIONES: - Se ofrece contrato indefinido a jornada completa. - Horario de trabajo a concretar con la empresa. - Salario de 1760 euros brutos mensuales incluida prorrata de pagas extra. FUNCIONES: - Estudios, proyectos y licitaciones, control de coste, planificación de obra, jefe de obra.
Datos de contacto:
CÓDIGO DE OFERTA: 072025003727 Si te interesa esta oferta y cumples los requisitos envíanos tu currículum a través de https://empleo.castillalamancha.es/public/oferta-publica/detalle,id=0A7A7q7g4R7f9B8f,isIntegra=true Más información de ésta y otras ofertas en nuestra Oficina Virtual (e-empleo.jccm.es/ofertas/jsp/inicio.jsp) La Oficina Emplea se reserva la facultad de modificar o retirar la oferta antes de la fecha límite de difusión. Tus datos se obtienen por las competencias de esta Consejería, con el fin de envío a ofertas de empleo, y se conservan el tiempo necesario para este fin. La entidad responsable del tratamiento es la Consejería de Empleo y la Unidad delegada de protección de datos de la Consejería de Hacienda y Administraciones Públicas. Puedes ejercer tus derechos ante este último Servicio, pudiendo reclamar posteriormente ante la AEPD..

Para acceder al detalle de la oferta haga click aquí",Spain,Albacete,Contract
https://europa.eu/eures/portal/jv-se/jv-details/NzIxNDExMyAxMDI?lang=es,10/10/2025,31/12/2025,OFERTA Nº 13642,,Médico generalista/médica generalista,"SE OFRECE PUESTO DE MÉDICO EN LA RESIDENCIA DE PERSONAS MAYORES, PERTENECIENTE AL MUNICIPIO DE CISTIERNA. CONTARO TEMPORAL A JORNADA PARCIAL. INTERESADOS CONTACTAR DIRECTAMENTE AL AYUNTAMIENTO DE CISTIERNA AL 987700002. ATENTAMENTE O. E. DE CISTIERNA.
Datos de contacto:
CÓDIGO DE OFERTA: 082025013642 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",Spain,Leon,Temporary
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MjUyNSAxMDI?lang=es,10/10/2025,29/10/2025,PASTORES,,pastor/pastora,"Datos de contacto:
CÓDIGO DE OFERTA: 082025020332 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",Spain,Leon,Contract
https://europa.eu/eures/portal/jv-se/jv-details/NzIyNTUwNSAxMDI?lang=es,10/10/2025,21/10/2025,"MÉDICOS, MEDICINA GENERAL",,Médico generalista/médica generalista,"CONTACTAR CON LA OFICINA DE EMPLEO DE MIRANDA. TFNO. 947320408
Datos de contacto:
CÓDIGO DE OFERTA: 082025015197 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",España,Burgos,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzIyNzU5MyAxMDI?lang=es,10/10/2025,25/10/2025,ASISTENTES DOMICILIARIOS,,técnico de atención sociosanitaria a personas en el domicilio/técnica de atención sociosanitaria a personas en el domicilio,"OFERTA 15609 DE AUXILIAR DE AYUDA A DOMICILIO PARA SAHAGUN CONTRATO INDEFINIDO, JORANADA COMPLETA SE REQUIERE CERTIFICADO DE PROFESIONALIDAD O EXPERIENCIA . IMPRESCINDIBLE CARNET DE CONDUCIR Y DISPONER DE VEHICULO INTERESADAS/OS PONERSE EN CONTACTO CON LA OFICINA DE EMPLEO SERNA.TF.987215200
Datos de contacto:
CÓDIGO DE OFERTA: 082025015609 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",España,León,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzE1ODI5NSAxMDI?lang=es,09/10/2025,30/10/2025,OPERARIOS TORNO FRESADOR CNC,,operador de fresadora/operadora de fresadora,"Oficiales con experiencia de mecanizado en máquinas CNC (centros de mecanizado, fresadoras, tornos.), con conocimientos de preparación de máquinas herramienta, herramientas y programación CNC.Se valorarán los conocimientos de CAD-CAM. Empresa del sector de la aeronáutica ubicada en Binéfar (Huesca) Funciones: - Colocar tacos en máquina, tomar ceros y retirar piezas fabricadas - Comprobar medidas de piezas acabado y quitar rebabas - Verificación de las cotas particularmente 1ª pieza, así como las cotas esenciales en la serie. - Comprobar medidas de acabado y quitar rebabas. - Rellenar la hoja de registro control a pie de máquina. - Cumplimentar correctamente registros de calidad IC, tanto de piezas correcta, como no conforme, bien con posibilidad de reproceso o directamente scraft, indicando las causas. - Sellar correctamente la orden de fabricación, así como realizar el correspondiente fichaje en personal. Contratación indefinida, en horario de 8 a 13 horas y de 15 a 18 horas Salario a convenir.
Datos de contacto:
CÓDIGO DE OFERTA: 022025002415 Para entrar en el proceso selectivo deberán remitir CV a inaem.oebinefar@aragon.es indicando en el asunto su DNI/Nie y la Ref. 2415 Las candidaturas que nos envíen, se remitirán a la empresa usuaria si cumplen los requisitos expuestos en la oferta..

Para acceder al detalle de la oferta haga click aquí",España,Huesca,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzE1NTMzOSAxMDI?lang=es,10/10/2025,20/12/2025,"FISIOTERAPEUTAS, EN GENERAL",,Fisioterapeuta,"OFERTA Nº 5003 DE FISIOTERAPEUTA PARA RESIDENCIA EN VILLARDECIERVOS (ZAMORA) LOS INTERESADOS/AS DEBEN ENVIAR SU C.V. A ECYLDOCTORFLEMING.OFERTAS@JCYL.ES (INDICANDO EN EL ASUNTO EL NÚMERO DE LA OFERTA). CONDICIONES: CONTRATO INDEFINIDO A JORNADA PARCIAL DE 5 HORAS A LA SEMANA. REQUISITOS: GRADO/DIPLOMATURA EN FISIOTERAPIA.
Datos de contacto:
CÓDIGO DE OFERTA: 082025005003 Para más información acuda a empleocastillayleon.jcyl.es/oficinavirtual.

Para acceder al detalle de la oferta haga click aquí",Spain,Zamora,Contract
https://europa.eu/eures/portal/jv-se/jv-details/NzE4OTMyMiAxMDI?lang=es,10/10/2025,11/10/2025,3 CARPINTEROS METALICOS,,Ferrallista,"EMPRESA DE ROLDÁN NECESITA 3 CARPINTEROS METALICOS FUNCIONES: - INSTALACIONES, REPARACIONES, MONTAJES, ESTRUCTURAS METALICAS, CERRAJERÍA Y CARPINTERIA METALICA O SIMILAR REQUISITOS: - FORMACIÓN: EGB-ESO - CURSO PREVENCIÓN DE RIESGOS LABORALES 20H - EXPERIENCIA: 2 AÑOS SE OFRECE: - CONTRATO LABORAL INDEFINIDO - JORNADA COMPLETA - HORARIO: 06:30 A 15H
Datos de contacto:
CÓDIGO DE OFERTA: 142025003550 Si está interesado en esta oferta o quiere acceder al resto de ofertas de empleo de la Región de Murcia, y tiene Certificado Digital o CL@VE, ponemos a su disposición la Oficina Virtual del SEF..

Para acceder al detalle de la oferta haga click aquí",España,Murcia,Contrato
https://europa.eu/eures/portal/jv-se/jv-details/NzExMjg1NCAxMDI?lang=es,09/10/2025,30/10/2025,CONDUCTORES DE CAMIÓN RUTA BINÉFAR-TORTOSA,,Conductor de vehículo de carga/conductora de vehículo de carga,"Conductores de camión para transporte de despojos desde matadero de la localidad de Binéfar (LITERA MEAT). La ruta a realizar actualmente es de Binéfar a Tortosa, donde se realiza cambio de camión para volver a la base de Binéfar. La carga de los camiones bañera se realiza por parte de la Industria Cárnica, en horario de 8 a 12.30, avisando para acudir y salir a la ruta. En ocasiones se puede hacer ruta hasta la Valencia. Contratación indefinida a jornada completa, salario aproximado de 1.700 euros netos.
Datos de contacto:
CÓDIGO DE OFERTA: 022025000435 Para entrar en el proceso selectivo deberán remitir CV a inaem.oebinefar@aragon.es indicando en el asunto su DNI/NIE y la Ref. 0435..

Para acceder al detalle de la oferta haga click aquí",España,Huesca,Contrato
